PO_ID,VENDOR_ID,VENDOR_NAME,PO_DATE,PO_STATUS,PO_AMOUNT,CURRENCY,INVOICE_COUNT,TOTAL_INVOICED,VARIANCE_AMOUNT,PCT_VARIANCE,INVOICE_IDS,RECEIPT_STATUS,MATCH_STATUS,EXCEPTION_TYPE
PO100468,V0009,Arias LLC,2026-04-16,Partially Received,3286.09,USD,3,3211.48,-74.61,-2.27,"INV200620, INV200621, INV200622",Received,Matched,Within tolerance
PO100286,V0009,Arias LLC,2025-11-21,Open,17345.86,USD,2,17738.39,392.53,2.26,"INV200372, INV200373",Received,Matched,Within tolerance
PO100346,V0032,Klein and Sons,2024-11-03,Closed,4154.29,USD,1,4247.84,93.55,2.25,INV200448,Received,Matched,Within tolerance
PO100098,V0043,"Morrow, Miller And Brooks",2025-02-18,Partially Received,4080.90,USD,1,3989.44,-91.46,-2.24,INV200116,Received,Matched,Within tolerance
PO100065,V0024,Ramos-Hall,2025-12-31,Closed,5259.68,USD,1,5375.96,116.28,2.21,INV200073,Received,Matched,Within tolerance
PO100426,V0047,"Sutton, Parker and Scott",2026-03-29,Partially Received,809.89,USD,1,827.80,17.91,2.21,INV200560,Received,Matched,Within tolerance
PO100112,V0020,Wood Inc,2026-02-26,Closed,21732.50,USD,1,22209.77,477.27,2.20,INV200137,Received,Matched,Within tolerance
PO100185,V0002,"Arnold, Mitchell and Jones",2025-07-07,Partially Received,4805.93,USD,1,4911.73,105.80,2.20,INV200233,Received,Matched,Within tolerance
PO100476,V0012,"Wagner, Willis and Alexander",2024-12-16,Open,2623.86,USD,1,2681.46,57.60,2.20,INV200633,Received,Matched,Within tolerance
PO100303,V0009,Arias LLC,2025-03-26,Closed,10309.19,USD,1,10083.30,-225.89,-2.19,INV200394,Received,Matched,Within tolerance
PO100419,V0047,"Sutton, Parker and Scott",2025-04-24,Open,1106.40,USD,1,1082.20,-24.20,-2.19,INV200552,Received,Matched,Within tolerance
PO100448,V0042,"Woodard, Harrell and Bell",2026-05-23,Closed,34151.58,USD,1,34898.90,747.32,2.19,INV200596,Received,Matched,Within tolerance
PO100338,V0030,Wallace-Rodriguez,2026-05-09,Open,66050.33,USD,2,64608.90,-1441.43,-2.18,"INV200435, INV200436",Received,Matched,Within tolerance
PO100367,V0017,Frost-Yu,2026-06-09,Closed,5511.45,USD,2,5631.45,120.00,2.18,"INV200480, INV200481",Received,Matched,Within tolerance
PO100137,V0017,Frost-Yu,2025-07-07,Closed,22731.50,USD,1,22240.99,-490.51,-2.16,INV200168,Received,Matched,Within tolerance
PO100292,V0041,Villarreal-Avila,2025-11-01,Partially Received,5711.74,USD,1,5834.92,123.18,2.16,INV200381,Received,Matched,Within tolerance
PO100136,V0033,Williams-Kline,2025-06-27,Open,996.11,USD,1,974.71,-21.40,-2.15,INV200167,Received,Matched,Within tolerance
PO100479,V0040,Martinez-Mcmahon,2025-06-11,Open,1103.58,USD,3,1079.94,-23.64,-2.14,"INV200636, INV200637, INV200638",Received,Matched,Within tolerance
PO100015,V0009,Arias LLC,2025-09-07,Closed,2447.64,USD,2,2499.67,52.03,2.13,"INV200018, INV200019",Received,Matched,Within tolerance
PO100345,V0001,Johnson Ltd,2025-03-07,Cancelled,39598.46,USD,1,40441.47,843.01,2.13,INV200447,NO GOODS RECEIPT,Matched,Within tolerance
PO100108,V0032,Klein and Sons,2025-12-06,Closed,28690.86,USD,3,29295.59,604.73,2.11,"INV200130, INV200131, INV200132",Received,Matched,Within tolerance
PO100178,V0042,"Woodard, Harrell and Bell",2025-08-13,Closed,24677.46,USD,1,25198.78,521.32,2.11,INV200224,Received,Matched,Within tolerance
PO100339,V0004,Arroyo Ltd,2025-02-05,Closed,12768.92,GBP,1,12501.33,-267.59,-2.10,INV200437,Received,Matched,Within tolerance
PO100428,V0027,Smith-Rose,2025-03-07,Closed,7692.05,USD,2,7530.44,-161.61,-2.10,"INV200562, INV200563",Received,Matched,Within tolerance
PO100396,V0047,"Sutton, Parker and Scott",2025-10-09,Partially Received,522.22,USD,1,533.15,10.93,2.09,INV200520,Received,Matched,Within tolerance
PO100059,V0016,Walton-Franklin,2026-06-05,Closed,7458.37,USD,1,7613.55,155.18,2.08,INV200067,Received,Matched,Within tolerance
PO100429,V0050,Sims Ltd,2025-09-15,Partially Received,10552.67,USD,1,10772.46,219.79,2.08,INV200564,Received,Matched,Within tolerance
PO100032,V0042,"Woodard, Harrell and Bell",2026-01-11,Open,25899.21,USD,1,26434.54,535.33,2.07,INV200040,Received,Matched,Within tolerance
PO100156,V0038,Ray Inc,2025-04-17,Open,12426.27,USD,1,12683.74,257.47,2.07,INV200192,Received,Matched,Within tolerance
PO100296,V0009,Arias LLC,2024-12-28,Closed,4369.34,USD,2,4459.74,90.40,2.07,"INV200389, INV200390",Received,Matched,Within tolerance
PO100351,V0034,"Moran, Cortez and Martin",2026-03-03,Closed,304.41,EUR,2,310.71,6.30,2.07,"INV200456, INV200457",Received,Matched,Within tolerance
PO100442,V0017,Frost-Yu,2025-09-27,Cancelled,7900.33,USD,2,8063.01,162.68,2.06,"INV200587, INV200588",Received,Matched,Within tolerance
PO100214,V0042,"Woodard, Harrell and Bell",2024-10-06,Closed,6819.44,USD,1,6959.56,140.12,2.05,INV200273,Received,Matched,Within tolerance
PO100078,V0033,Williams-Kline,2025-07-11,Closed,850.93,USD,1,868.26,17.33,2.04,INV200088,Received,Matched,Within tolerance
PO100386,V0009,Arias LLC,2025-08-10,Closed,2670.80,USD,1,2616.39,-54.41,-2.04,INV200509,Received,Matched,Within tolerance
PO100113,V0048,"Williams, Hodges And Lee",2025-12-27,Closed,14072.56,USD,1,14357.22,284.66,2.02,INV200138,Received,Matched,Within tolerance
PO100368,V0025,Medina LLC,2025-08-25,Closed,13712.13,GBP,3,13988.93,276.80,2.02,"INV200482, INV200483, INV200484",Received,Matched,Within tolerance
PO100228,V0041,Villarreal-Avila,2024-11-09,Closed,57059.53,USD,2,55912.33,-1147.20,-2.01,"INV200295, INV200296",Received,Matched,Within tolerance
PO100144,V0017,Frost-Yu,2025-07-22,Closed,8152.98,USD,1,7991.61,-161.37,-1.98,INV200179,Received,Matched,Within tolerance
PO100140,V0032,Klein and Sons,2025-07-27,Closed,22839.13,USD,2,23286.20,447.07,1.96,"INV200173, INV200174",Received,Matched,Within tolerance
PO100342,V0009,Arias LLC,2025-06-28,Partially Received,3596.70,USD,3,3667.12,70.42,1.96,"INV200442, INV200443, INV200444",Received,Matched,Within tolerance
PO100353,V0024,Ramos-Hall,2025-03-25,Partially Received,17990.36,USD,1,17637.11,-353.25,-1.96,INV200460,Received,Matched,Within tolerance
PO100432,V0023,Gonzales and Sons,2025-04-02,Cancelled,29568.63,USD,3,28989.58,-579.05,-1.96,"INV200568, INV200569, INV200570",Received,Matched,Within tolerance
PO100075,V0009,Arias LLC,2025-01-21,Open,7516.15,USD,1,7369.42,-146.73,-1.95,INV200085,Received,Matched,Within tolerance
PO100241,V0033,Williams-Kline,2026-03-04,Closed,212.11,USD,2,216.24,4.13,1.95,"INV200313, INV200314",Received,Matched,Within tolerance
PO100287,V0012,"Wagner, Willis and Alexander",2024-11-04,Open,677.71,USD,1,664.51,-13.20,-1.95,INV200374,Received,Matched,Within tolerance
PO100014,V0043,"Morrow, Miller And Brooks",2025-10-08,Cancelled,20902.92,USD,1,20499.78,-403.14,-1.93,INV200017,Received,Matched,Within tolerance
PO100020,V0048,"Williams, Hodges And Lee",2025-08-11,Closed,49437.69,USD,2,48485.86,-951.83,-1.93,"INV200025, INV200026",Received,Matched,Within tolerance
PO100109,V0042,"Woodard, Harrell and Bell",2024-10-21,Closed,6885.33,USD,2,6752.19,-133.14,-1.93,"INV200133, INV200134",Received,Matched,Within tolerance
PO100127,V0021,"Esparza, Arnold and Mercer",2025-05-21,Closed,38971.69,USD,2,38218.44,-753.25,-1.93,"INV200155, INV200156",Received,Matched,Within tolerance
PO100399,V0030,Wallace-Rodriguez,2025-06-19,Closed,40228.66,USD,2,39451.51,-777.15,-1.93,"INV200523, INV200524",Received,Matched,Within tolerance
PO100418,V0049,"Gallagher, Taylor and Perry",2026-05-30,Closed,7320.03,USD,1,7178.72,-141.31,-1.93,INV200551,Received,Matched,Within tolerance
PO100478,V0009,Arias LLC,2025-12-08,Closed,6062.40,USD,1,5945.67,-116.73,-1.93,INV200635,Received,Matched,Within tolerance
PO100017,V0032,Klein and Sons,2025-12-09,Closed,4713.39,USD,1,4803.72,90.33,1.92,INV200021,Received,Matched,Within tolerance
PO100038,V0050,Sims Ltd,2026-04-09,Partially Received,108912.27,USD,1,106825.72,-2086.55,-1.92,INV200049,Received,Matched,Within tolerance
PO100110,V0022,Gallagher-Mason,2026-06-11,Closed,12917.47,USD,2,12672.38,-245.09,-1.90,"INV200135, INV200136",Received,Matched,Within tolerance
PO100440,V0040,Martinez-Mcmahon,2026-06-01,Closed,1462.19,USD,2,1490.01,27.82,1.90,"INV200585, INV200586",Received,Matched,Within tolerance
PO100034,V0008,"Winters, Campbell and Carr",2025-08-12,Closed,384.52,EUR,1,377.27,-7.25,-1.89,INV200042,Received,Matched,Within tolerance
PO100220,V0004,Arroyo Ltd,2025-02-26,Partially Received,37604.88,GBP,1,36895.22,-709.66,-1.89,INV200283,Received,Matched,Within tolerance
PO100480,V0017,Frost-Yu,2025-01-11,Closed,23594.27,USD,2,24040.00,445.73,1.89,"INV200639, INV200640",Received,Matched,Within tolerance
PO100375,V0038,Ray Inc,2025-12-04,Open,6879.28,USD,1,7007.23,127.95,1.86,INV200494,Received,Matched,Within tolerance
PO100363,V0048,"Williams, Hodges And Lee",2025-03-31,Cancelled,15299.09,USD,2,15015.96,-283.13,-1.85,"INV200474, INV200475",Received,Matched,Within tolerance
PO100230,V0039,"Jones, Lee and Jefferson",2025-02-03,Closed,6075.78,CAD,2,6186.38,110.60,1.82,"INV200299, INV200300",Received,Matched,Within tolerance
PO100172,V0004,Arroyo Ltd,2025-08-25,Closed,8261.28,GBP,1,8410.70,149.42,1.81,INV200216,Received,Matched,Within tolerance
PO100216,V0042,"Woodard, Harrell and Bell",2025-12-18,Closed,7093.80,USD,2,6966.93,-126.87,-1.79,"INV200277, INV200278",Received,Matched,Within tolerance
PO100388,V0050,Sims Ltd,2026-01-16,Closed,38474.67,USD,1,39163.63,688.96,1.79,INV200511,Received,Matched,Within tolerance
PO100001,V0025,Medina LLC,2025-03-23,Partially Received,14677.20,GBP,2,14417.31,-259.89,-1.77,"INV200001, INV200002",Received,Matched,Within tolerance
PO100171,V0043,"Morrow, Miller And Brooks",2025-03-21,Open,3362.50,USD,3,3421.72,59.22,1.76,"INV200213, INV200214, INV200215",Received,Matched,Within tolerance
PO100436,V0002,"Arnold, Mitchell and Jones",2025-10-14,Closed,3625.31,USD,3,3689.14,63.83,1.76,"INV200577, INV200578, INV200579",Received,Matched,Within tolerance
PO100265,V0008,"Winters, Campbell and Carr",2025-10-02,Closed,266.11,EUR,2,261.45,-4.66,-1.75,"INV200345, INV200346",Received,Matched,Within tolerance
PO100447,V0028,"Ramirez, Lynch and Hogan",2025-12-20,Open,20166.09,USD,2,20519.91,353.82,1.75,"INV200594, INV200595",Received,Matched,Within tolerance
PO100203,V0040,Martinez-Mcmahon,2025-12-03,Closed,2119.33,USD,1,2082.48,-36.85,-1.74,INV200258,Received,Matched,Within tolerance
PO100248,V0042,"Woodard, Harrell and Bell",2025-08-10,Partially Received,25100.13,USD,1,24664.00,-436.13,-1.74,INV200323,Received,Matched,Within tolerance
PO100093,V0008,"Winters, Campbell and Carr",2025-11-02,Closed,522.01,EUR,1,513.01,-9.00,-1.72,INV200110,Received,Matched,Within tolerance
PO100176,V0042,"Woodard, Harrell and Bell",2025-11-13,Closed,7724.73,USD,2,7592.76,-131.97,-1.71,"INV200220, INV200221",Received,Matched,Within tolerance
PO100251,V0016,Walton-Franklin,2025-10-19,Open,113277.30,USD,1,111343.57,-1933.73,-1.71,INV200326,NO GOODS RECEIPT,Matched,Within tolerance
PO100114,V0029,Herman LLC,2025-08-15,Partially Received,28063.93,USD,1,27587.68,-476.25,-1.70,INV200139,Received,Matched,Within tolerance
PO100246,V0018,"Brennan, Lewis and Reilly",2024-11-06,Partially Received,800.65,USD,1,814.29,13.64,1.70,INV200321,Received,Matched,Within tolerance
PO100378,V0001,Johnson Ltd,2025-10-06,Closed,92387.31,USD,2,90824.13,-1563.18,-1.69,"INV200499, INV200500",Received,Matched,Within tolerance
PO100259,V0002,"Arnold, Mitchell and Jones",2026-02-13,Closed,1916.69,USD,1,1948.92,32.23,1.68,INV200337,Received,Matched,Within tolerance
PO100366,V0017,Frost-Yu,2025-07-01,Closed,3218.15,USD,3,3271.91,53.76,1.67,"INV200477, INV200478, INV200479",Received,Matched,Within tolerance
PO100370,V0031,Phillips-Henry,2024-09-24,Open,30624.72,USD,3,31131.78,507.06,1.66,"INV200485, INV200486, INV200487",Received,Matched,Within tolerance
PO100349,V0027,Smith-Rose,2025-08-24,Closed,2186.42,USD,2,2222.43,36.01,1.65,"INV200453, INV200454",Received,Matched,Within tolerance
PO100407,V0001,Johnson Ltd,2025-11-05,Closed,29361.78,USD,2,29846.63,484.85,1.65,"INV200535, INV200536",Received,Matched,Within tolerance
PO100095,V0004,Arroyo Ltd,2025-08-28,Closed,7893.71,GBP,1,7764.44,-129.27,-1.64,INV200112,Received,Matched,Within tolerance
PO100180,V0031,Phillips-Henry,2025-06-20,Closed,59790.70,USD,1,58813.08,-977.62,-1.64,INV200226,Received,Matched,Within tolerance
PO100393,V0031,Phillips-Henry,2025-03-24,Open,6900.45,USD,1,7013.59,113.14,1.64,INV200517,NO GOODS RECEIPT,Matched,Within tolerance
PO100094,V0049,"Gallagher, Taylor and Perry",2026-01-16,Closed,3033.22,USD,1,2984.12,-49.10,-1.62,INV200111,Received,Matched,Within tolerance
PO100209,V0037,"Martinez, Wright and Reynolds",2025-04-29,Closed,2610.58,USD,1,2568.32,-42.26,-1.62,INV200266,Received,Matched,Within tolerance
PO100380,V0048,"Williams, Hodges And Lee",2026-01-03,Closed,108240.69,USD,1,109992.41,1751.72,1.62,INV200502,Received,Matched,Within tolerance
PO100071,V0021,"Esparza, Arnold and Mercer",2026-04-09,Partially Received,53614.13,USD,1,54476.16,862.03,1.61,INV200080,Received,Matched,Within tolerance
PO100341,V0048,"Williams, Hodges And Lee",2025-03-03,Closed,30169.99,USD,3,29685.72,-484.27,-1.61,"INV200439, INV200440, INV200441",Received,Matched,Within tolerance
PO100365,V0022,Gallagher-Mason,2024-12-09,Closed,7021.65,USD,1,7134.65,113.00,1.61,INV200476,Received,Matched,Within tolerance
PO100264,V0040,Martinez-Mcmahon,2025-12-02,Closed,1046.03,USD,1,1062.79,16.76,1.60,INV200344,Received,Matched,Within tolerance
PO100012,V0032,Klein and Sons,2026-01-03,Closed,6103.43,USD,3,6006.14,-97.29,-1.59,"INV200013, INV200014, INV200015",Received,Matched,Within tolerance
