payment_id,invoice_id,payment_date,amount_paid,currency,payment_method
PAY300114,INV200124,2025-03-04,13189.00,GBP,ACH
PAY300116,INV200632,2025-03-04,1167.32,USD,ACH
PAY300126,INV200390,2025-03-07,3305.78,USD,ACH
PAY300088,INV200275,2025-03-08,7300.65,USD,Wire Transfer
PAY300075,INV200380,2025-03-09,2755.27,USD,Wire Transfer
PAY300128,INV200252,2025-03-09,12721.46,USD,CORPORATE CARD
PAY300104,INV200473,2025-03-10,14183.64,USD,Wire Transfer
PAY300094,INV200506,2025-03-13,673.48,USD,ACH
PAY300068,INV200182,2025-03-14,13975.16,USD,Check
PAY300105,INV200546,14-MAR-2025,28797.55,USD,ACH
PAY300111,INV200327,14-MAR-2025,8224.55,GBP,ACH
PAY300117,INV200082,2025-03-14,11894.12,USD,ACH
PAY300096,INV200225,2025-03-15,10419.38,USD,Corporate Card
PAY300102,INV200255,03/16/2025,4836.58,GBP,ACH
PAY300109,INV200048,2025-03-16,5169.40,USD,ach
PAY300113,INV200639,2025-03-16,12856.69,USD,Wire Transfer
PAY300066,INV200611,2025-03-17,2646.09,USD,Check
PAY300078,INV200004,2025-03-18,6849.11,USD,ACH
PAY300101,INV200109,2025-03-19,3317.84,USD,Wire Transfer
PAY300084,INV200526,2025-03-20,7261.94,USD,ACH
PAY300135,INV200424,2025-03-20,679.71,EUR,ACH
PAY300086,INV200431,2025-03-22,1165.36,USD,ach
PAY300103,INV200377,2025-03-22,8841.21,USD,CORPORATE CARD
PAY300119,INV200197,26-MAR-2025,7032.42,USD,Wire Transfer
PAY300123,INV200106,2025-03-28,45381.75,GBP,ACH
PAY300142,INV200598,2025-03-30,3500.28,USD,Check
PAY300110,INV200256,2025-03-31,2493.78,GBP,ACH  
PAY300146,INV200599,2025-04-03,5982.20,USD,wire transfer
PAY300133,INV200199,2025-04-04,2880.40,GBP,ACH
PAY300136,INV200283,04/04/2025,36895.22,GBP,  Check
PAY300132,INV200116,2025-04-05,3989.44,USD,Check
PAY300118,INV200276,2025-04-06,3793.03,USD,ach
PAY300130,INV200202,2025-04-06,41.46,USD,ACH
PAY300140,INV200597,07-APR-2025,28145.48,USD,  ACH
PAY300093,INV200387,09-APR-2025,502.33,USD,ACH
PAY300137,INV200434,11-APR-2025,11483.73,USD,Wire Transfer
PAY300154,INV200036,2025-04-11,545.90,EUR,  Wire Transfer
PAY300131,INV200640,2025-04-13,11183.31,USD,Wire Transfer
PAY300098,INV200513,2025-04-14,813.72,USD,ACH  
PAY300124,INV200165,2025-04-14,7836.47,USD,ACH
PAY300145,INV200447,2025-04-15,40441.47,USD,Wire Transfer
PAY300151,INV200185,2025-04-15,2710.09,USD,Check
PAY300121,INV200433,2025-04-17,14984.03,USD,ACH
PAY300129,INV200093,2025-04-19,3684.92,USD,ACH
PAY300122,INV200074,2025-04-20,7815.07,USD,Check
PAY300027,INV200260,04/22/2025,2980.95,USD,Check
PAY300147,INV200555,2025-04-22,2914.77,USD,ACH
PAY300148,INV200191,2025-04-22,8049.16,GBP,check
PAY300138,INV200170,2025-04-25,20765.73,USD,Check  
PAY300159,INV200517,04/26/2025,7013.59,USD,ach
PAY300076,INV200642,2025-04-28,33405.09,USD,ach
PAY300150,INV200200,2025-04-28,4489.09,GBP,Check
PAY300085,INV200386,2025-04-29,597.39,USD,ACH
PAY300107,INV200492,2025-04-29,39195.42,USD,ACH
PAY300139,INV200648,05/02/2025,10012.80,USD,CHECK
PAY300143,INV200516,05/02/2025,5006.29,USD,Check
PAY300149,INV200166,04-MAY-2025,4460.10,USD,Check
PAY300144,INV200547,05-MAY-2025,3841.39,USD,WIRE TRANSFER
PAY300160,INV200554,2025-05-05,3541.44,USD,Wire Transfer
PAY300057,INV200063,07-MAY-2025,37873.03,USD,ACH
PAY300090,INV200515,2025-05-09,2996.96,USD,ACH
PAY300168,INV200471,09-MAY-2025,755.78,USD,Check
PAY300171,INV200411,2025-05-10,3777.82,USD,WIRE TRANSFER
PAY300161,INV200562,2025-05-13,2448.66,USD,ACH
PAY300157,INV200388,14-MAY-2025,834.37,USD,Check
PAY300153,INV200300,2025-05-17,2398.61,CAD,ACH
PAY300065,INV200663,18-MAY-2025,1552.99,USD,Wire Transfer
PAY300071,INV200183,2025-05-21,44690.67,USD,ACH
PAY300165,INV200563,05/21/2025,5081.78,USD,Check
PAY300174,INV200272,2025-05-22,19913.40,GBP,Wire Transfer
PAY300125,INV200201,2025-05-23,302.70,USD,ach
PAY300173,INV200012,2025-05-23,2070.99,USD,ACH
PAY300164,INV200090,2025-05-26,1852.46,USD,Wire Transfer
PAY300172,INV200615,26-MAY-2025,2041.21,USD,ach
PAY300198,INV200394,2025-05-26,10083.30,USD,Corporate Card
PAY300176,INV200382,05/27/2025,312.94,USD,  Check
PAY300162,INV200077,05/29/2025,29857.91,USD,  ACH
PAY300206,INV200305,2025-06-01,6175.49,USD,CHECK
PAY300152,INV200001,2025-06-02,5528.24,GBP,ACH
PAY300178,INV200347,2025-06-03,6844.47,USD,ACH
PAY300209,INV200086,2025-06-03,5052.00,USD,ACH
PAY300167,INV200055,2025-06-04,17260.00,USD,Corporate Card
PAY300158,INV200439,2025-06-05,16882.59,USD,Check
PAY300180,INV200091,2025-06-05,312.11,USD,Wire Transfer
PAY300185,INV200180,2025-06-05,2038.65,USD,Check
PAY300169,INV200591,2025-06-06,9342.22,USD,ACH
PAY300189,INV200607,06-JUN-2025,2133.52,USD,ACH
PAY300170,INV200249,2025-06-07,264.03,EUR,Wire Transfer
PAY300175,INV200568,09-JUN-2025,6437.58,USD,Wire Transfer
PAY300187,INV200383,09-JUN-2025,528.66,USD,Wire Transfer
PAY300188,INV200548,09-JUN-2025,29636.38,USD,ACH
PAY300155,INV200096,2025-06-10,1971.93,CAD,Wire Transfer
PAY300197,INV200351,2025-06-12,4166.76,USD,CORPORATE CARD
PAY300181,INV200474,2025-06-13,8092.39,USD,ACH
PAY300194,INV200302,06/14/2025,11555.14,USD,Wire Transfer
PAY300199,INV200549,06/14/2025,34101.31,USD,  ACH
PAY300202,INV200029,06/15/2025,11662.67,USD,ach
PAY300190,INV200290,2025-06-16,3873.59,USD,wire transfer
PAY300183,INV200440,2025-06-17,5333.64,USD,ACH
PAY300203,INV200460,2025-06-17,17637.11,USD,ACH
PAY300184,INV200002,2025-06-18,8889.07,GBP,ach
PAY300186,INV200214,06/18/2025,555.91,USD,check
PAY300166,INV200213,2025-06-21,721.85,USD,Check
PAY300196,INV200257,24-JUN-2025,729.31,USD,ACH
PAY300192,INV200660,2025-06-27,3873.59,USD,ach
PAY300214,INV200532,2025-06-27,6266.29,USD,ACH
PAY300217,INV200616,2025-06-27,1060.98,USD,Wire Transfer
PAY300177,INV200005,06/28/2025,4526.80,USD,ACH
PAY300195,INV200569,2025-06-28,3810.80,USD,Corporate Card
PAY300208,INV200570,2025-06-28,18741.20,USD,Corporate Card
PAY300216,INV200617,06/28/2025,5764.46,USD,ACH
PAY300201,INV200421,2025-06-30,6160.61,USD,Check  
PAY300205,INV200160,2025-07-04,3074.08,USD,ACH
PAY300218,INV200251,2025-07-06,839.67,USD,ACH
PAY300141,INV200631,2025-07-07,520.76,USD,wire transfer
PAY300207,INV200420,2025-07-08,6403.58,USD,ACH
PAY300225,INV200306,2025-07-08,953.34,USD,  Corporate Card
PAY300221,INV200550,09-JUL-2025,36061.98,USD,  ACH
PAY300127,INV200030,11-JUL-2025,7007.98,USD,Wire Transfer
PAY300191,INV200643,07/11/2025,1126.56,USD,ACH
PAY300115,INV200396,2025-07-12,16918.12,USD,ACH
PAY300120,INV200432,07/12/2025,3207.90,USD,WIRE TRANSFER
PAY300213,INV200006,2025-07-12,5416.46,USD,ACH
PAY300215,INV200552,2025-07-12,1082.20,USD,ACH
PAY300226,INV200215,2025-07-14,2143.96,USD,ACH
PAY300220,INV200475,2025-07-18,6923.57,USD,ACH  
PAY300204,INV200097,2025-07-19,4087.46,CAD,  Wire Transfer
PAY300242,INV200304,2025-07-23,23247.71,USD,ACH
PAY300210,INV200098,2025-07-25,2560.78,CAD,ACH
PAY300236,INV200557,07/25/2025,14842.53,USD,Wire Transfer
PAY300156,INV200467,27-JUL-2025,1875.36,GBP,corporate card
PAY300200,INV200187,27-JUL-2025,9590.18,USD,ACH
PAY300223,INV200120,2025-07-27,10973.36,USD,ACH
PAY300222,INV200161,07/28/2025,2890.91,USD,  Wire Transfer
PAY300227,INV200441,2025-07-28,7469.49,USD,ACH
PAY300229,INV200527,2025-07-28,7086.31,USD,Wire Transfer
PAY300224,INV200192,2025-07-30,12683.74,USD,ACH
PAY300228,INV200592,2025-07-30,13420.56,USD,Corporate Card
PAY300163,INV200253,2025-07-31,7864.73,USD,ACH
PAY300193,INV200203,2025-07-31,1089.44,USD,Check
PAY300219,INV200303,2025-08-06,19768.56,USD,WIRE TRANSFER
PAY300234,INV200121,07-AUG-2025,722.72,USD,Check
PAY300237,INV200092,2025-08-07,920.23,USD,wire transfer
PAY300245,INV200558,2025-08-08,7301.20,USD,ACH
PAY300182,INV200606,2025-08-09,2409.48,USD,ACH
PAY300264,INV200565,2025-08-09,24088.59,USD,ACH
PAY300249,INV200458,11-AUG-2025,4152.11,USD,Check
PAY300250,INV200384,2025-08-11,721.42,USD,  ACH
PAY300179,INV200186,2025-08-12,7448.17,USD,CORPORATE CARD
PAY300241,INV200072,2025-08-12,3822.36,USD,  Corporate Card
PAY300248,INV200007,12-AUG-2025,14014.38,USD,Wire Transfer
PAY300230,INV200266,08/14/2025,2568.32,USD,Wire Transfer
PAY300240,INV200100,08/18/2025,2199.40,USD,Wire Transfer
PAY300268,INV200050,2025-08-19,24261.50,USD,Wire Transfer
PAY300270,INV200637,2025-08-19,83.54,USD,Check  
PAY300243,INV200094,2025-08-20,6120.10,USD,Corporate Card
PAY300235,INV200539,22-AUG-2025,10097.41,USD,ACH
PAY300257,INV200523,2025-08-22,18505.47,USD,Wire Transfer
PAY300252,INV200529,23-AUG-2025,3896.02,USD,wire transfer
PAY300134,INV200299,2025-08-24,3787.77,CAD,ACH
PAY300233,INV200291,2025-08-26,1765.40,USD,Wire Transfer
PAY300247,INV200167,2025-08-26,974.71,USD,Corporate Card
PAY300279,INV200553,2025-08-26,11757.50,USD,wire transfer
PAY300265,INV200603,2025-09-02,565.76,EUR,Wire Transfer
PAY300261,INV200477,2025-09-03,1670.25,USD,ACH
PAY300246,INV200101,04-SEP-2025,727.23,USD,Check
PAY300254,INV200233,2025-09-04,4911.73,USD,Wire Transfer
PAY300280,INV200600,09/04/2025,1073.31,USD,Check
PAY300260,INV200301,2025-09-06,11701.58,GBP,wire transfer
PAY300244,INV200156,2025-09-07,10473.74,USD,Corporate Card
PAY300251,INV200605,2025-09-07,2130.00,USD,Wire Transfer
PAY300255,INV200528,2025-09-07,3758.77,USD,check
PAY300256,INV200088,2025-09-07,868.26,USD,ACH
PAY300259,INV200248,09/07/2025,4479.83,USD,Corporate Card
PAY300286,INV200158,09/07/2025,1471.28,USD,Wire Transfer
PAY300267,INV200332,2025-09-08,2997.12,USD,ACH
PAY300263,INV200514,09-SEP-2025,3366.82,USD,ACH
PAY300296,INV200566,09/09/2025,7425.34,USD,Check
PAY300276,INV200226,09/10/2025,58813.08,USD,Wire Transfer
PAY300253,INV200044,2025-09-14,3155.94,GBP,ACH
PAY300266,INV200168,2025-09-14,22240.99,USD,Check
PAY300311,INV200149,2025-09-15,1623.44,EUR,ACH
PAY300304,INV200507,09/16/2025,6687.30,USD,ACH
PAY300285,INV200333,2025-09-17,4424.71,USD,ACH
PAY300308,INV200567,17-SEP-2025,16573.98,USD,ach
PAY300258,INV200392,2025-09-18,3391.58,USD,  Check
PAY300274,INV200147,2025-09-19,2919.45,USD,Wire Transfer
PAY300290,INV200670,09/20/2025,1471.28,USD,ACH
PAY300295,INV200367,2025-09-20,4988.40,USD,ACH
PAY300317,INV200150,20-SEP-2025,5681.98,USD,ACH
PAY300211,INV200144,2025-09-21,15240.41,USD,Check
PAY300231,INV200054,2025-09-21,10391.67,USD,ACH
PAY300238,INV200155,2025-09-23,27744.70,USD,ACH
PAY300271,INV200671,2025-09-23,23938.61,USD,ACH
PAY300278,INV200666,2025-09-23,22823.14,USD,ACH
PAY300269,INV200259,2025-09-24,23938.61,USD,ACH
PAY300293,INV200438,2025-09-24,5385.63,USD,WIRE TRANSFER
PAY300294,INV200043,2025-09-26,2654.63,USD,Check
PAY300300,INV200140,2025-09-26,11140.98,USD,CHECK
PAY300277,INV200524,2025-09-27,20946.04,USD,ACH
PAY300281,INV200122,2025-09-27,8371.86,USD,Check
PAY300331,INV200664,2025-09-27,3103.72,USD,ACH
PAY300283,INV200315,2025-09-28,2001.14,USD,  ACH
PAY300316,INV200482,2025-09-28,4198.69,GBP,Check
PAY300272,INV200559,2025-09-30,25197.39,USD,ACH
PAY300291,INV200442,30-SEP-2025,1880.38,USD,Corporate Card
PAY300292,INV200459,2025-09-30,7908.95,USD,Corporate Card
PAY300282,INV200556,2025-10-01,9111.96,USD,Check
PAY300239,INV200087,2025-10-02,5675.55,USD,ach
PAY300310,INV200601,2025-10-04,418.96,USD,CHECK
PAY300305,INV200068,05-OCT-2025,2691.82,USD,ACH
PAY300327,INV200217,2025-10-05,3103.72,USD,WIRE TRANSFER
PAY300329,INV200509,10/05/2025,2616.39,USD,ACH
PAY300302,INV200537,2025-10-06,63181.03,USD,Wire Transfer
PAY300307,INV200099,10/06/2025,16908.19,USD,ACH
PAY300297,INV200075,2025-10-11,635.57,EUR,Corporate Card
PAY300298,INV200179,2025-10-11,7991.61,USD,  ACH
PAY300299,INV200239,2025-10-11,5703.33,USD,ACH
PAY300345,INV200443,10/12/2025,331.61,USD,  Check
PAY300332,INV200071,2025-10-13,5175.10,USD,ACH
PAY300212,INV200661,2025-10-14,3074.08,USD,Wire Transfer
PAY300347,INV200018,10/14/2025,744.44,USD,Wire Transfer
PAY300289,INV200623,2025-10-15,31965.08,CAD,Check
PAY300288,INV200478,2025-10-18,258.68,USD,Wire Transfer  
PAY300326,INV200334,2025-10-18,2831.76,USD,Wire Transfer
PAY300355,INV200019,2025-10-18,1755.23,USD,ACH
PAY300306,INV200076,2025-10-20,287.56,EUR,Corporate Card
PAY300325,INV200010,10/21/2025,13451.28,USD,ACH
PAY300336,INV200210,10/21/2025,2216.07,USD,Check
PAY300320,INV200025,2025-10-22,11304.74,USD,ACH
PAY300232,INV200307,2025-10-23,346.74,USD,ACH
PAY300284,INV200148,10/23/2025,3930.99,USD,ACH
PAY300303,INV200407,2025-10-23,688.56,USD,Check
PAY300312,INV200172,2025-10-23,4561.11,USD,Wire Transfer  
PAY300338,INV200216,10/24/2025,8410.70,GBP,Wire Transfer
PAY300313,INV200224,2025-10-25,25198.78,USD,ACH
PAY300328,INV200505,2025-10-25,9913.00,USD,ACH
PAY300350,INV200614,10/25/2025,28963.95,USD,ACH
PAY300348,INV200069,10/27/2025,2982.15,USD,ACH
PAY300340,INV200479,2025-10-29,1342.98,USD,Check
PAY300273,INV200079,10/30/2025,22823.14,USD,CORPORATE CARD
PAY300335,INV200638,10/30/2025,646.28,USD,ACH
PAY300368,INV200219,10/30/2025,3283.35,USD,ACH
PAY300275,INV200045,2025-10-31,4971.67,GBP,Wire Transfer
PAY300319,INV200323,2025-10-31,24664.00,USD,ACH
PAY300334,INV200522,31-OCT-2025,97848.78,USD,Wire Transfer
PAY300301,INV200533,2025-11-01,28000.84,USD,ACH
PAY300323,INV200624,01-NOV-2025,665.45,CAD,Check
PAY300356,INV200602,02-NOV-2025,2296.92,USD,Corporate Card
PAY300364,INV200188,11/02/2025,2904.58,USD,Check
PAY300287,INV200173,2025-11-04,9007.57,USD,ACH
PAY300373,INV200647,11/05/2025,6218.67,USD,Check
PAY300367,INV200083,2025-11-06,30499.24,USD,ACH
PAY300314,INV200042,2025-11-07,377.27,EUR,Wire Transfer
PAY300372,INV200646,08-NOV-2025,12079.03,USD,  ACH
PAY300337,INV200414,2025-11-09,31198.28,USD,ACH
PAY300354,INV200564,2025-11-10,10772.46,USD,ACH
PAY300339,INV200289,2025-11-11,10837.06,USD,ACH
PAY300353,INV200279,2025-11-11,4914.11,USD,ACH
PAY300388,INV200236,2025-11-12,6685.02,USD,Check
PAY300379,INV200444,11/14/2025,1455.13,USD,Corporate Card
PAY300324,INV200625,2025-11-15,36135.28,CAD,ACH
PAY300343,INV200240,2025-11-16,2019.65,USD,Check
PAY300333,INV200112,2025-11-17,7764.44,GBP,ACH
PAY300346,INV200530,18-NOV-2025,4298.27,USD,ACH
PAY300360,INV200335,11/18/2025,6106.67,USD,Wire Transfer
PAY300362,INV200375,2025-11-18,759.44,USD,ach
PAY300391,INV200341,11/18/2025,3453.43,USD,ACH
PAY300370,INV200483,2025-11-19,3500.99,GBP,  ACH
PAY300376,INV200627,2025-11-19,705.82,USD,ACH
PAY300385,INV200016,2025-11-21,4776.18,GBP,Wire Transfer
PAY300352,INV200345,2025-11-22,57.45,EUR,Wire Transfer
PAY300358,INV200084,2025-11-22,3831.27,USD,Check
PAY300371,INV200211,2025-11-22,4105.89,USD,Corporate Card
PAY300341,INV200139,2025-11-23,27587.68,USD,Corporate Card
PAY300344,INV200287,2025-11-24,1826.77,USD,Wire Transfer
PAY300374,INV200326,11/25/2025,111343.57,USD,ACH
PAY300322,INV200316,2025-11-26,1249.76,USD,ACH
PAY300394,INV200263,11/26/2025,11497.71,USD,ACH
PAY300357,INV200026,2025-11-28,37181.12,USD,Wire Transfer
PAY300375,INV200366,2025-11-29,661.00,USD,ACH
PAY300380,INV200454,2025-11-29,1629.76,USD,ACH
PAY300359,INV200465,2025-12-01,21052.09,USD,  ACH
PAY300330,INV200534,2025-12-02,33922.16,USD,Check  
PAY300361,INV200499,2025-12-02,59918.18,USD,Wire Transfer
PAY300381,INV200503,12/02/2025,3292.97,GBP,ACH
PAY300349,INV200415,2025-12-03,592.64,USD,  Check
PAY300387,INV200070,2025-12-03,4118.94,USD,check
PAY300321,INV200508,2025-12-04,4459.61,USD,CHECK
PAY300365,INV200659,2025-12-04,3831.27,USD,Check
PAY300377,INV200204,2025-12-04,2324.26,USD,wire transfer
PAY300378,INV200241,07-DEC-2025,2328.45,USD,Wire Transfer
PAY300389,INV200501,2025-12-08,2355.03,USD,ACH  
PAY300342,INV200510,2025-12-09,37278.99,USD,ACH
PAY300405,INV200264,10-DEC-2025,560.21,USD,Wire Transfer
PAY300262,INV200651,11-DEC-2025,620.67,USD,Corporate Card
PAY300396,INV200655,2025-12-11,943.00,USD,Corporate Card
PAY300412,INV200064,2025-12-11,935.72,USD,Check
PAY300393,INV200578,2025-12-12,751.49,USD,Check
PAY300369,INV200353,12/14/2025,836.37,USD,  Corporate Card
PAY300403,INV200342,2025-12-14,2479.01,USD,Wire Transfer
PAY300414,INV200060,12/14/2025,389.65,EUR,Check
PAY300384,INV200626,15-DEC-2025,12023.63,USD,  ACH
PAY300390,INV200577,2025-12-15,1875.55,USD,ACH
PAY300402,INV200463,2025-12-15,2013.71,USD,Wire Transfer
PAY300399,INV200095,2025-12-17,1362.63,USD,Corporate Card  
PAY300400,INV200484,2025-12-17,6289.25,GBP,Check
PAY300363,INV200416,2025-12-19,28054.03,USD,ACH
PAY300366,INV200422,2025-12-20,3464.88,USD,CORPORATE CARD
PAY300386,INV200280,2025-12-20,4353.82,USD,check
PAY300401,INV200152,2025-12-24,5068.07,USD,Check  
PAY300419,INV200346,2025-12-24,204.00,EUR,Corporate Card
PAY300392,INV200500,12/26/2025,30905.95,USD,ACH
PAY300395,INV200037,2025-12-29,4012.44,USD,  Corporate Card
PAY300407,INV200504,2025-12-30,3313.21,GBP,Check
PAY300397,INV200328,2025-12-31,6443.23,USD,ACH
PAY300406,INV200490,2025-12-31,154.10,USD,  ACH
PAY300409,INV200381,01/01/2026,5834.92,USD,Corporate Card
PAY300398,INV200358,2026-01-02,25376.08,USD,Wire Transfer
PAY300439,INV200360,01/04/2026,2737.64,USD,  ACH
PAY300415,INV200359,2026-01-06,20227.93,USD,ACH
PAY300436,INV200059,2026-01-06,415.45,EUR,  Corporate Card
PAY300431,INV200372,01/07/2026,8347.08,USD,Wire Transfer
PAY300408,INV200588,01/11/2026,4932.66,USD,ACH
PAY300411,INV200489,2026-01-14,534.67,USD,Wire Transfer
PAY300447,INV200061,14-JAN-2026,165.86,EUR,ACH
PAY300309,INV200141,2026-01-15,30336.00,USD,Check
PAY300429,INV200417,15-JAN-2026,975.14,USD,Check
PAY300410,INV200423,2026-01-16,1062.54,USD,Wire Transfer
PAY300435,INV200154,2026-01-16,2260.49,GBP,WIRE TRANSFER
PAY300430,INV200649,2026-01-17,530.52,EUR,wire transfer
PAY300404,INV200520,01/18/2026,533.15,USD,Corporate Card
PAY300416,INV200604,2026-01-18,17278.07,USD,Wire Transfer
PAY300446,INV200065,2026-01-18,3038.31,USD,check
PAY300318,INV200288,2026-01-19,8694.21,USD,Check
PAY300448,INV200110,2026-01-20,513.01,EUR,ACH
PAY300351,INV200125,2026-01-21,7155.31,USD,ACH
PAY300413,INV200579,2026-01-21,1062.10,USD,Corporate Card
PAY300438,INV200243,2026-01-21,11478.90,USD,Wire Transfer
PAY300418,INV200348,2026-01-22,9483.20,USD,Check
PAY300383,INV200151,2026-01-23,6168.05,USD,ACH
PAY300420,INV200349,23-JAN-2026,4467.73,USD,Check
PAY300423,INV200220,2026-01-24,5101.19,USD,Check
PAY300434,INV200021,2026-01-24,4803.72,USD,ACH
PAY300425,INV200452,2026-01-25,99497.59,USD,wire transfer
PAY300454,INV200373,01/26/2026,9391.31,USD,wire transfer
PAY300315,INV200174,2026-01-27,14278.63,USD,ACH
PAY300424,INV200038,2026-01-27,5029.48,USD,  ACH
PAY300432,INV200127,2026-01-29,10248.00,USD,Wire Transfer
PAY300433,INV200378,2026-01-29,1284.90,GBP,wire transfer
PAY300444,INV200355,2026-01-29,1024.37,USD,Wire Transfer
PAY300455,INV200265,2026-01-29,16389.54,USD,Check
PAY300426,INV200654,01-FEB-2026,4786.54,GBP,ACH
PAY300437,INV200194,2026-02-02,3875.81,USD,check
PAY300421,INV200535,2026-02-03,23644.83,USD,ACH
PAY300427,INV200107,02/03/2026,5966.94,USD,ACH
PAY300442,INV200308,02/04/2026,2287.79,EUR,ACH
PAY300452,INV200344,2026-02-05,1062.79,USD,ach
PAY300450,INV200051,2026-02-10,2573.29,USD,ACH
