VENDOR_KEY,VENDOR_ID,VENDOR_NAME,CATEGORY,REGION,PAYMENT_TERMS,PAYMENT_TERMS_DAYS,CURRENCY,EFFECTIVE_START_DATE,EFFECTIVE_END_DATE,IS_CURRENT,VERSION_NUMBER,SOURCE_CREATION_DATE,SOURCE_LAST_UPDATE,DATA_QUALITY_FLAGS
42,V0042,"Woodard, Harrell and Bell",Consulting,Unknown,NET45,45,USD,2023-04-23,9999-12-31,True,1,2023-04-23,2023-04-23,MISSING_REGION
43,V0043,"Morrow, Miller And Brooks",IT Services,North America,NET30,30,USD,2024-01-16,2025-09-24,False,1,2024-01-16,2024-01-16,
44,V0044,Munoz PLC,Raw Materials,APAC,NET30,30,CAD,2023-08-16,9999-12-31,True,1,2023-08-16,2023-08-16,
45,V0045,Wolfe-Macdonald,IT Services,North America,NET45,45,USD,2022-08-15,9999-12-31,True,1,2022-08-15,2022-08-15,
46,V0046,"Roth, Johnson And Glover",Logistics,APAC,NET60,60,USD,2023-07-09,9999-12-31,True,1,2023-07-09,2023-07-09,
47,V0047,"Sutton, Parker and Scott",Office Supplies,LATAM,NET30,30,USD,2024-08-18,9999-12-31,True,1,2024-08-18,2024-08-18,
48,V0048,"Williams, Hodges And Lee",Raw Materials,North America,NET45,45,USD,2024-02-18,9999-12-31,True,1,2024-02-18,2024-02-18,
49,V0049,"Gallagher, Taylor and Perry",IT Services,EMEA,NET30,30,USD,2024-01-17,9999-12-31,True,1,2024-01-17,2024-01-17,
50,V0050,Sims Ltd,Raw Materials,EMEA,NET30,30,USD,2024-01-18,9999-12-31,True,1,2024-01-18,2024-01-18,
57,V0051,"Clements, Bowen And Tucker",Raw Materials,North America,NET30,30,USD,2026-07-02,9999-12-31,True,1,2026-07-02,2026-07-02,
58,V0052,Pierce Ltd,Office Supplies,APAC,NET15,15,EUR,2026-03-10,9999-12-31,True,1,2026-03-10,2026-03-10,
59,V0024,Ramos-Hall,Logistics,EMEA,NET45,45,USD,2025-06-19,9999-12-31,True,2,2022-09-30,2025-06-19,
60,V0001,Johnson Ltd,IT Services,EMEA,NET45,45,USD,2025-09-10,9999-12-31,True,2,2022-05-24,2025-09-10,
61,V0008,"Winters, Campbell and Carr",Raw Materials,EMEA,NET15,15,EUR,2025-10-23,9999-12-31,True,2,2024-08-16,2025-10-23,
62,V0002,"Arnold, Mitchell and Jones",Logistics,EMEA,2/10 NET30,30,USD,2025-11-09,9999-12-31,True,2,2024-08-09,2025-11-09,
63,V0043,"Morrow, Miller And Brooks",IT Services,North America,NET15,15,USD,2025-09-25,9999-12-31,True,2,2024-01-16,2025-09-25,
64,V0026,Campbell Ltd,Consulting,EMEA,NET30,30,USD,2025-05-10,9999-12-31,True,2,2023-10-22,2025-05-10,
